Image_ID,class,confidence,ymin,xmin,ymax,xmax
image_0647,1,0.808603942,0.552777778,0.41484375,0.818055556,0.4984375
image_0647,1,0.710756838,0.608333333,0.57421875,0.827777778,0.775
image_0639,1,0.919224858,0.675,0.8609375,0.830555556,0.953125
image_0639,0,0.818347096,0.644444444,0.12421875,0.831944444,0.24140625
image_0639,0,0.806378841,0.630555556,0.3484375,0.844444444,0.48671875
image_0604,0,0.846479893,0.625,0.77890625,0.744444444,0.88828125
image_0604,1,0.766777992,0.641666667,0.1875,0.715277778,0.29765625
image_0611,1,0.891261578,0.680555556,0.696875,0.808333333,0.7703125
image_0611,0,0.835852265,0.643055556,0.459375,0.826388889,0.58125
image_0611,0,0.744100809,0.695833333,0.225,0.8375,0.32265625
image_0666,1,0.827850461,0.641666667,0.2578125,0.8,0.38359375
image_0597,1,0.83103478,0.6875,0.63984375,0.804166667,0.73046875
image_0597,1,0.782200277,0.705555556,0.5125,0.825,0.5765625
image_0597,0,0.415952921,0.876388889,0.44453125,0.995833333,0.578125
image_0602,1,0.795130491,0.641666667,0.1703125,0.740277778,0.2609375
image_0616,0,0.839305282,0.6125,0.3453125,0.830555556,0.46796875
image_0616,0,0.832481682,0.691666667,0.69609375,0.826388889,0.80546875
image_0616,1,0.7098369,0.697222222,0.5375,0.841666667,0.60859375
image_0607,0,0.774942279,0.669444444,0.365625,0.904166667,0.44140625
image_0607,0,0.662706673,0.627777778,0.0921875,0.926388889,0.3203125
image_0607,0,0.636463404,0.544444444,0.64140625,0.940277778,0.86328125
image_0618,0,0.806752324,0.6125,0.6140625,0.854166667,0.77265625
image_0627,0,0.776233733,0.775,0.7078125,0.936111111,0.85546875
image_0627,0,0.73560679,0.679166667,0.1203125,0.923611111,0.3296875
image_0627,0,0.72408241,0.719444444,0.3890625,0.923611111,0.5265625
image_0627,1,0.666925132,0,0.14296875,0.248611111,0.240625
image_0630,0,0.886727154,0.634722222,0.46171875,0.786111111,0.54921875
image_0630,0,0.857068896,0.665277778,0.3265625,0.751388889,0.39609375
image_0630,1,0.763029754,0.681944444,0.59375,0.773611111,0.72734375
image_0630,0,0.411000371,0.879166667,0.44453125,0.991666667,0.575
image_0603,0,0.800148129,0.634722222,0.240625,0.756944444,0.35859375
image_0603,1,0.774579465,0.640277778,0.7046875,0.756944444,0.7890625
image_0603,1,0.73123318,0.65,0.46484375,0.772222222,0.57890625
image_0654,0,0.830140591,0.633333333,0.034375,0.836111111,0.16640625
image_0654,1,0.814068139,0.693055556,0.7484375,0.852777778,0.8734375
image_0654,1,0.666916549,0.658333333,0.53671875,0.802777778,0.67578125
image_0637,0,0.951629102,0.615277778,0.7015625,0.790277778,0.78671875
image_0637,0,0.853042781,0.669444444,0.13359375,0.779166667,0.2515625
image_0637,0,0.835040331,0.630555556,0.2890625,0.831944444,0.41796875
image_0650,0,0.881041467,0.709722222,0.5546875,0.895833333,0.68046875
image_0650,0,0.873432338,0.644444444,0.33046875,0.827777778,0.4265625
image_0650,0,0.841016829,0.686111111,0.8453125,0.870833333,0.96328125
image_0617,0,0.778766096,0.588888889,0.51640625,0.809722222,0.63359375
image_0617,0,0.684446752,0.701388889,0.39375,0.791666667,0.4703125
image_0655,1,0.849729061,0.584722222,0.67734375,0.822222222,0.76953125
image_0626,0,0.783238828,0.708333333,0.65703125,0.955555556,0.8203125
image_0626,1,0.552233994,0.768055556,0.36796875,0.891666667,0.56875
image_0626,0,0.47821331,0,0.13671875,0.248611111,0.23828125
image_0589,1,0.895993292,0.716666667,0.35625,0.845833333,0.45390625
image_0589,1,0.688825369,0.65,0.7328125,0.823611111,0.81875
image_0662,0,0.827820301,0.556944444,0.20234375,0.8375,0.325
image_0662,0,0.801302731,0.705555556,0.5109375,0.868055556,0.6296875
image_0662,1,0.668524563,0.701388889,0.8203125,0.875,0.94375
image_0662,0,0.600788176,0.880555556,0.44765625,0.994444444,0.578125
image_0613,0,0.873349786,0.694444444,0.346875,0.818055556,0.42109375
image_0613,1,0.830475211,0.677777778,0.5140625,0.805555556,0.6265625
image_0613,1,0.788118362,0.5875,0.121875,0.8,0.2390625
image_0606,1,0.926630259,0.647222222,0.628125,0.772222222,0.7109375
image_0606,1,0.805440485,0.668055556,0.19140625,0.748611111,0.29921875
image_0606,1,0.434260428,0.166666667,0.9734375,0.247222222,1
image_0632,0,0.934642911,0.613888889,0.590625,0.797222222,0.69609375
image_0598,0,0.849303901,0.702777778,0.44140625,0.786111111,0.51953125
image_0598,1,0.844072402,0.616666667,0.56015625,0.794444444,0.640625
image_0598,0,0.482646525,0.877777778,0.44453125,0.993055556,0.57734375
image_0600,0,0.867573678,0.579166667,0.6625,0.768055556,0.7328125
image_0600,0,0.784721494,0.676388889,0.52890625,0.759722222,0.628125
image_0600,1,0.731758177,0.651388889,0.23046875,0.747222222,0.3109375
image_0664,0,0.932830095,0.680555556,0.72734375,0.820833333,0.8109375
image_0664,1,0.865814388,0.6,0.16171875,0.815277778,0.2703125
image_0664,1,0.763908088,0.7,0.52734375,0.829166667,0.62890625
